"MSOA Name","MSOA Code","LAD Name","LAD Code","Mean NO2 Conc.","Mean PM2.5 Conc."
"City of London 001","E02000001","City of London","E09000001",54.2032064082589,16.0333932291207
"Barking and Dagenham 001","E02000002","Barking and Dagenham","E09000002",29.2902013095757,12.2123650624906
"Barking and Dagenham 002","E02000003","Barking and Dagenham","E09000002",31.4438931822399,12.5935100386131
"Barking and Dagenham 003","E02000004","Barking and Dagenham","E09000002",28.7616103030396,12.2584790756226
"Barking and Dagenham 004","E02000005","Barking and Dagenham","E09000002",31.1595995835584,12.6902003233682
"Barking and Dagenham 006","E02000007","Barking and Dagenham","E09000002",30.3428845218885,12.506437248483
"Barking and Dagenham 007","E02000008","Barking and Dagenham","E09000002",31.5539498443431,12.7614843445426
"Barking and Dagenham 008","E02000009","Barking and Dagenham","E09000002",32.7336689022192,12.9845541404405
"Barking and Dagenham 009","E02000010","Barking and Dagenham","E09000002",30.8237041922978,12.6628550553322
"Barking and Dagenham 010","E02000011","Barking and Dagenham","E09000002",29.8194702558795,12.4942211834574
"Barking and Dagenham 011","E02000012","Barking and Dagenham","E09000002",33.4349488751196,12.9783196312789
"Barking and Dagenham 012","E02000013","Barking and Dagenham","E09000002",31.8731108392988,12.8165532914289
"Barking and Dagenham 013","E02000014","Barking and Dagenham","E09000002",31.7663405357034,12.7611160108934
"Barking and Dagenham 014","E02000015","Barking and Dagenham","E09000002",30.1847506800912,12.4920761458716
"Barking and Dagenham 015","E02000016","Barking and Dagenham","E09000002",37.1522876488443,13.311511516571
"Barking and Dagenham 016","E02000017","Barking and Dagenham","E09000002",34.7910704029425,13.1005669281991
"Barking and Dagenham 017","E02000018","Barking and Dagenham","E09000002",33.7333334175573,12.9829342370161
"Barking and Dagenham 018","E02000019","Barking and Dagenham","E09000002",33.0427759796975,12.8500169888373
"Barking and Dagenham 019","E02000020","Barking and Dagenham","E09000002",33.2349034471893,12.8834213556795
"Barking and Dagenham 020","E02000021","Barking and Dagenham","E09000002",32.0587846582828,12.6694654343168
"Barking and Dagenham 021","E02000022","Barking and Dagenham","E09000002",37.3566224371266,13.3425521198501
"Barking and Dagenham 022","E02000023","Barking and Dagenham","E09000002",33.6014710005903,12.8866820478616
"Barnet 001","E02000024","Barnet","E09000003",28.9872651430078,12.0818712393831
"Barnet 002","E02000025","Barnet","E09000003",29.0612613638652,12.1271166752294
"Barnet 003","E02000026","Barnet","E09000003",29.72883178653,12.2873101132266
"Barnet 004","E02000027","Barnet","E09000003",29.6460550801884,12.243681614233
"Barnet 005","E02000028","Barnet","E09000003",31.515563932369,12.5177459608548
"Barnet 006","E02000029","Barnet","E09000003",31.2576073045733,12.5309554786583
"Barnet 007","E02000030","Barnet","E09000003",30.089018223255,12.2005706591151
"Barnet 008","E02000031","Barnet","E09000003",32.4491920212807,12.7339851306186
