"Ward Name","Ward Code","LAD Name","LAD Code","Mean NO2 Conc.","Mean PM2.5 Conc."
"Chessington South","E05000405","Kingston upon Thames","E09000021",27.9465755688736,11.916294585494
"Tolworth and Hook Rise","E05000414","Kingston upon Thames","E09000021",32.7815702891221,12.6959519105278
"Berrylands","E05000401","Kingston upon Thames","E09000021",32.6157359461121,12.686166541729
"Alexandra","E05000400","Kingston upon Thames","E09000021",32.6224798911529,12.6926430651566
"Beverley","E05000402","Kingston upon Thames","E09000021",32.7707429908256,12.8014479566918
"Coombe Hill","E05000406","Kingston upon Thames","E09000021",33.6415954631687,12.767741363421
"Chessington North and Hook","E05000404","Kingston upon Thames","E09000021",30.6161822216596,12.3566486025532
"Surbiton Hill","E05000413","Kingston upon Thames","E09000021",31.8393911465514,12.5946069298911
"Old Malden","E05000410","Kingston upon Thames","E09000021",32.1117732868816,12.7077751406712
"St. Mark's","E05000412","Kingston upon Thames","E09000021",32.4958432764207,12.6336001703861
"Grove","E05000408","Kingston upon Thames","E09000021",35.5512950959452,12.9911926132295
"Canbury","E05000403","Kingston upon Thames","E09000021",33.6249107014049,12.8608261550495
"Norbiton","E05000409","Kingston upon Thames","E09000021",34.8682782738087,12.9322823415354
"Coombe Vale","E05000407","Kingston upon Thames","E09000021",32.5418776264707,12.7205734944268
"St. James","E05000411","Kingston upon Thames","E09000021",33.8253285583581,12.8944034384093
"Tudor","E05000415","Kingston upon Thames","E09000021",33.1022487067258,12.7300810812696
"Coulsdon East","E05000150","Croydon","E09000008",26.1263849880867,11.7491003129311
"Selsdon and Ballards","E05000162","Croydon","E09000008",27.8193917630771,12.0169626843401
"Coulsdon West","E05000151","Croydon","E09000008",28.69826793686,12.154841113432
"Waddon","E05000167","Croydon","E09000008",33.1925445075754,12.8028515384178
"Kenley","E05000156","Croydon","E09000008",27.3474266821878,11.9372083753648
"Purley","E05000159","Croydon","E09000008",30.6120796476983,12.4393909993012
"Sanderstead","E05000160","Croydon","E09000008",27.5851088876668,11.9909067124334
"Heathfield","E05000155","Croydon","E09000008",28.6189498387958,12.1316602478864
"Fairfield","E05000153","Croydon","E09000008",33.5400078760401,12.8706140015613
"Broad Green","E05000149","Croydon","E09000008",33.8553627003231,13.2013492106816
"West Thornton","E05000168","Croydon","E09000008",34.1116533508892,13.1442579030991
"Bensham Manor","E05000148","Croydon","E09000008",33.4465827963117,13.0273641596915
"Norbury","E05000158","Croydon","E09000008",34.0731913331661,13.0660655082676
"New Addington","E05000157","Croydon","E09000008",26.506441221962,11.8581299611302
"Croham","E05000152","Croydon","E09000008",30.8384130514581,12.4740295551216
"Fieldway","E05000154","Croydon","E09000008",28.1824442519791,12.0723447941483
"Shirley","E05000163","Croydon","E09000008",29.7932311693145,12.3920831550741
"Selhurst","E05000161","Croydon","E09000008",34.0883901566083,13.0825423582812
"Ashburton","E05000147","Croydon","E09000008",31.7332876291152,12.7071666233833
"Woodside","E05000169","Croydon","E09000008",32.027905251048,12.7851716685882
"Thornton Heath","E05000165","Croydon","E09000008",34.3385181581701,13.0911242318062
"Upper Norwood","E05000166","Croydon","E09000008",34.2614354911865,13.0267935614875
"South Norwood","E05000164","Croydon","E09000008",33.5993889776657,12.9448060849488
"Addiscombe","E05000146","Croydon","E09000008",33.1505181870698,12.97454638769
"Darwin","E05000117","Bromley","E09000006",24.0386949422841,11.4386034924081
"Hayes and Coney Hall","E05000119","Bromley","E09000006",28.0667108962059,12.121234812693
"Bromley Common and Keston","E05000108","Bromley","E09000006",27.9029879940351,12.0763734957438
"Chelsfield and Pratts Bottom","E05000110","Bromley","E09000006",25.0564314081108,11.5675538703092
"Biggin Hill","E05000107","Bromley","E09000006",24.0873135468876,11.466227593894
"West Wickham","E05000127","Bromley","E09000006",29.859501489944,12.4218880501019
"Clock House","E05000112","Bromley","E09000006",32.586150405811,12.859098802672
"Kelsey and Eden Park","E05000120","Bromley","E09000006",31.5554247362343,12.7851259293228
"Farnborough and Crofton","E05000118","Bromley","E09000006",27.0326252841627,11.9391168464078
