LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000001,City of London 001A,E09000001,City of London,6.208,29199.000,9.000,0.007,32831.000,10.000,0.010,32742.000,10.000,0.024,32842.000,10.000,-1.654,32113.000,10.000,-2.012,32662.000,10.000,29.472,7319.000,3.000,31.873,7789.000,3.000
E01000002,City of London 001B,E09000001,City of London,5.143,30379.000,10.000,0.034,29901.000,10.000,0.027,31190.000,10.000,0.063,32832.000,10.000,-1.115,29705.000,10.000,-2.343,32789.000,10.000,24.412,11707.000,4.000,23.084,13070.000,4.000
E01000003,City of London 001C,E09000001,City of London,19.402,14915.000,5.000,0.086,18510.000,6.000,0.086,15103.000,5.000,5.804,26386.000,9.000,-0.102,17600.000,6.000,-1.032,29363.000,9.000,40.103,2157.000,1.000,40.535,4092.000,2.000
E01000005,City of London 001E,E09000001,City of London,28.652,8678.000,3.000,0.211,6029.000,2.000,0.136,7833.000,3.000,22.260,12370.000,4.000,-0.121,17907.000,6.000,-1.317,31059.000,10.000,39.900,2217.000,1.000,28.979,9397.000,3.000
E01032739,City of London 001F,E09000001,City of London,13.584,20391.000,7.000,0.014,32638.000,10.000,0.011,32727.000,10.000,1.771,31135.000,10.000,-0.676,25654.000,8.000,-1.560,31947.000,10.000,46.314,837.000,1.000,49.165,2040.000,1.000
E01032740,City of London 001G,E09000001,City of London,15.841,18089.000,6.000,0.024,31774.000,10.000,0.035,29443.000,9.000,2.259,30578.000,10.000,-0.355,21520.000,7.000,-1.701,32292.000,10.000,37.427,3054.000,1.000,68.585,130.000,1.000
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,19.837,14486.000,5.000,0.117,14023.000,5.000,0.059,21692.000,7.000,14.798,17511.000,6.000,-0.359,21581.000,7.000,-0.147,18848.000,6.000,45.171,1033.000,1.000,26.888,10629.000,4.000
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,31.576,7256.000,3.000,0.207,6261.000,2.000,0.107,11487.000,4.000,11.385,20536.000,7.000,-0.027,16414.000,5.000,0.846,4925.000,2.000,50.420,274.000,1.000,25.995,11162.000,4.000
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,37.596,5010.000,2.000,0.265,3382.000,2.000,0.151,6431.000,2.000,25.506,10569.000,4.000,0.250,12334.000,4.000,0.353,11113.000,4.000,45.413,981.000,1.000,30.233,8672.000,3.000
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,32.844,6736.000,3.000,0.187,7506.000,3.000,0.109,11132.000,4.000,15.713,16819.000,6.000,0.454,9661.000,3.000,0.895,4431.000,2.000,48.119,554.000,1.000,28.601,9611.000,3.000
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,32.437,6900.000,3.000,0.169,8902.000,3.000,0.073,17988.000,6.000,11.762,20182.000,7.000,-0.002,16050.000,5.000,1.214,2164.000,1.000,50.580,259.000,1.000,47.932,2269.000,1.000
