Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
Whitechapel Health Centre Branch,F84039001,GPB,Portsoken Health Centre,14-16 Little Somerset Street,Tower Hamlets,London,Greater London,E1 8AH,,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=151824,0,0,12950 patients,12950,,,Yes,yes,N/A - Data not available,,,16.61% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.61%,yes,16.44% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.44%,yes,
Spitalfields Medical Centre - Health E1,F84733,GPB,9-11 Brick Lane,,,London,Greater London,E1 6PU,Tel: 02072470090,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=40360,0,0,1157 patients,1157,,,Yes,yes,YES Contact practice for appointment availability,YES,,1.11% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,1.11%,yes,1.03% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,1.03%,yes,yes
St. Katherine's Dock Practice,F84731,GPB,12-14 Nightingale House,50 Thomas More Street,,London,Greater London,E1W 1UA,Tel: 02074883653,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84731,,,2174 patients,2174,,,Yes,yes,YES Contact practice for appointment availability,YES,,70.06% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,70.06%,yes,74.53% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,74.53%,yes,no
The Neaman Practice,F84640,GPB,15 Half Moon Court,,,London,Greater London,EC1A 7HF,Tel: 02076009740,25 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84640,,,9454 patients,9454,,,Yes,yes,YES Contact practice for appointment availability,YES,,25.68% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.68%,yes,23.57% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.57%,yes,
The Spitalfields Practice,F84081,GPB,20 Old Montague Street,,,London,Greater London,E1 5PB,Tel: 02072477070,37 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84081,,,13871 patients,13871,,,Yes,yes,YES Contact practice for appointment availability,YES,,42.85% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.85%,yes,42.83% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.83%,yes,no
The New Mill Street Surgery,G85705,GPB,1 Wolseley Street,,,London,Greater London,SE1 2BP,Tel: 02072521817,58 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85705,,,6700 patients,6700,,,Yes,yes,YES Contact practice for appointment availability,YES,,46.93% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,46.93%,yes,46.43% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,46.43%,yes,no
Decima Street Surgery (Part of the Nexus Health Group),G85034004,GPB,6 Decima Street,,,London,Greater London,SE1 4QX,Tel: 02074033618,20 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85034004,,,76633 patients,76633,,,Yes,yes,YES Contact practice for appointment availability,YES,,13.69% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.69%,yes,13.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.66%,yes,
Borough Medical Centre (Dr Misra),G85106,GPB,1-5 Newington Causeway,,,London,Greater London,SE1 6ED,Tel: 02073570288,13 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85106,,,2608 patients,2608,,,Yes,yes,YES Contact practice for appointment availability,YES,,30.94% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,30.94%,yes,30.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,30.90%,yes,
Borough Medical Centre (Dr Sharma),Y00454,GPB,Borough Medical Centre - Dr Sharma,1-5 Newington Causeway,,London,Greater London,SE1 6ED,Tel: 02073577852,15 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=37928,76.6,4.0,2319 patients,2319,,,Yes,yes,YES Contact practice for appointment availability,YES,,21.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.33%,yes,21.15% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.15%,yes,
Blackfriars Medical Practice,G85642,GPB,45 Colombo Street,,,London,Greater London,SE1 8EE,Tel: 02079286216,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85642,,,8264 patients,8264,,,Yes,yes,YES Contact practice for appointment availability,YES,,39.83% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,39.83%,yes,39.63% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,39.63%,yes,yes
