Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Care Quality Commission inspection ratings,Value  (Care Quality Commission inspection ratings),Banding Classification  (Care Quality Commission inspection ratings),Recommended by staff,Value  (Recommended by staff),Banding Classification  (Recommended by staff),Mortality rate (in hospital and up to 30 days after discharge),Value  (Mortality rate (in hospital and up to 30 days after discharge)),Banding Classification  (Mortality rate (in hospital and up to 30 days after discharge)),Food: Choice and Quality,Value  (Food: Choice and Quality),Banding Classification  (Food: Choice and Quality),Car parking (Is there car parking at this organisation?),A&E (A&E onsite Comparison),Disabled access (Disabled access),Induction loop (Induction loop in place)
London Bridge Hospital,NW605,HOS,27 Tooley Street,,,London,,SE1 2PR,Tel: 0207 407 3100,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NW605,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/1-126955902,1,cqc-outstanding,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,yes,yes
Guy's Hospital,RJ121,HOS,Great Maze Pond,,,London,,SE1 9RT,Tel: 020 7188 7188,134 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ121,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RJ121,2,cqc-good,Among the best with a value of 88%,88,tick,Lower number of deaths than expected,0.733,tick,92.10% Among the best,92.10%,Tick,yes,,yes,Data not available
St Bartholomew's Hospital,R1HM0,HOS,St Bartholomew’s Hospital,West Smithfield,,City of London,,EC1A 7BE,Tel: 020 7377 7000,119 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1HM0,,,Good Visit CQC profile - http://www.cqc.org.uk/location/R1HM0,2,cqc-good,Within expected range with a value of 66%,66,ok,Number of deaths within the expected range,0.907,ok,86.50% Among the best,86.50%,Tick,no,,yes,no
Moorfields Eye Hospital (City Road),RP601,HOS,162 City Road,,,London,,EC1V 2PD,Tel: 020 7253 3411,84 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RP601,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RP601,1,cqc-outstanding,Among the best with a value of 92%,92,tick,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,no,,yes,no
Royal London Hospital,AXA02,HOS,Whitechapel,,,London,Greater London,E1 1BB,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AXA02,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Middlesex Hospital,RRV20,HOS,Mortimer Street,,,London,Greater London,W1A 3AA,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRV20,0,0,Not yet rated,,doesnotapply,Among the best with a value of 83%,83,tick,Lower number of deaths than expected,0.757,tick,No relevant data available,,doesnotapply,,,,
St Leonard's,RQX20,HOS,St Leonard's Hospital,Nuttall Street,,London,,N1 5LZ,Tel: 0207 683 4527,15 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQX20,,,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Lower number of deaths than expected,0.78,tick,No relevant data available,,doesnotapply,,,,
Great Ormond Street Hospital ,RP401,HOS,Great Ormond Street,,,London,Greater London,WC1N 3JH,Tel: +44 (0)20 7405 9200,19 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RP401,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RP401,2,cqc-good,Among the best with a value of 87%,87,tick,Not available for independent or specialist hospitals,,doesnotapply,92.41% Among the best,92.41%,Tick,no,,yes,yes
St Thomas',RJ122,HOS,,Westminster Bridge Road,,London,,SE1 7EH,Tel: 020 7188 7188,141 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ122,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RJ122,2,cqc-good,Among the best with a value of 88%,88,tick,Lower number of deaths than expected,0.733,tick,93.32% Among the best,93.32%,Tick,yes,,yes,yes
The Royal London Hospital For Integrated Medicine,RRV60,HOS,60 Great Ormond Street,,,London,,WC1N 3HR,Tel: 020 3456 7890,19 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRV60,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RRV60,5,cqc-norating,Among the best with a value of 83%,83,tick,Lower number of deaths than expected,0.757,tick,No relevant data available,,doesnotapply,,,,
